"Time";"13-0";
"Time";"0D - Vehicle Speed";
"Time";"km/h";
"14:59:19.652";"26";
"14:59:20.227";"26";
"14:59:21.501";"21";
"14:59:21.850";"21";
"14:59:22.191";"19";
"14:59:22.643";"19";
"14:59:23.098";"17";
"14:59:24.151";"15";
"14:59:24.496";"14";
"14:59:24.951";"13";
"14:59:25.063";"13";
"14:59:25.178";"13";
"14:59:25.528";"13";
"14:59:25.991";"13";
"14:59:26.111";"13";
"14:59:26.571";"13";
"14:59:26.915";"14";
"14:59:27.490";"14";
"14:59:27.835";"15";
"14:59:29.212";"20";
"14:59:29.327";"21";
"14:59:29.790";"23";
"14:59:30.022";"24";
"14:59:30.709";"27";
"14:59:31.413";"30";
"14:59:31.527";"31";
"14:59:32.131";"33";
"14:59:32.472";"34";
"14:59:34.855";"42";
"14:59:35.545";"42";
"14:59:36.355";"43";
"14:59:37.956";"43";
"14:59:38.072";"43";
"14:59:38.871";"44";
"14:59:38.989";"44";
"14:59:39.335";"44";
"14:59:40.026";"45";
"14:59:40.370";"45";
"14:59:40.611";"45";
"14:59:41.416";"45";
"14:59:41.762";"42";
"14:59:42.678";"28";
"14:59:43.830";"12";
"14:59:44.403";"9";
"14:59:44.866";"9";
"14:59:45.556";"9";
"14:59:46.017";"9";
"14:59:46.247";"9";
"14:59:46.591";"9";
"14:59:47.271";"9";
"14:59:47.391";"9";
"14:59:47.856";"9";
"14:59:48.317";"11";
"14:59:49.130";"14";
"14:59:49.474";"16";
"14:59:49.701";"16";
"14:59:50.615";"19";
"14:59:51.422";"22";
"14:59:53.480";"31";
"14:59:55.675";"36";
"14:59:56.363";"37";
"14:59:56.590";"38";
"14:59:56.819";"39";
"14:59:57.727";"41";
"14:59:57.844";"42";
"14:59:58.984";"44";
"15:00:00.469";"48";
"15:00:01.046";"49";
"15:00:02.303";"50";
"15:00:02.537";"51";
"15:00:03.110";"49";
"15:00:03.454";"49";
"15:00:03.914";"49";
"15:00:04.146";"49";
"15:00:04.264";"48";
"15:00:05.061";"39";
"15:00:05.514";"30";
"15:00:05.632";"29";
"15:00:06.107";"19";
"15:00:06.908";"12";
"15:00:07.020";"11";
"15:00:07.707";"10";
"15:00:07.935";"10";
"15:00:08.282";"10";
"15:00:08.399";"11";
"15:00:08.851";"11";
"15:00:09.214";"11";
"15:00:09.335";"11";
"15:00:09.453";"11";
"15:00:10.034";"12";
"15:00:10.963";"14";
"15:00:11.423";"15";
"15:00:12.573";"17";
"15:00:12.917";"17";
"15:00:13.491";"17";
"15:00:14.073";"18";
"15:00:14.765";"18";
"15:00:15.140";"18";
"15:00:16.620";"17";
"15:00:16.740";"17";
"15:00:17.103";"17";
"15:00:17.338";"18";
"15:00:17.453";"17";
"15:00:17.912";"18";
"15:00:18.136";"18";
"15:00:18.249";"19";
"15:00:18.933";"20";
"15:00:20.068";"22";
"15:00:20.531";"23";
"15:00:20.650";"23";
"15:00:20.773";"24";
"15:00:21.578";"24";
"15:00:21.922";"24";
"15:00:22.043";"25";
"15:00:22.390";"25";
"15:00:22.510";"25";
"15:00:22.627";"25";
"15:00:23.301";"26";
"15:00:23.872";"27";
"15:00:23.989";"26";
"15:00:24.679";"27";
"15:00:25.133";"27";
"15:00:25.249";"27";
"15:00:26.271";"27";
"15:00:26.960";"25";
"15:00:27.531";"18";
"15:00:28.671";"17";
"15:00:28.784";"16";
"15:00:28.902";"17";
"15:00:29.022";"17";
"15:00:29.254";"17";
"15:00:30.169";"17";
"15:00:30.401";"17";
"15:00:30.516";"18";
"15:00:31.422";"18";
"15:00:31.766";"18";
"15:00:31.883";"18";
"15:00:32.352";"18";
"15:00:33.954";"17";
"15:00:34.300";"17";
"15:00:34.534";"16";
"15:00:35.334";"16";
"15:00:36.827";"16";
