48.293,47,47.914,17.2568,
49.955,51,48.522,17.649,
50.256,52,48.973,54.1236,
50.407,53,50.180,51.7704,
50.558,53,50.636,50.2016,
53.575,63,50.787,48.6328,
56.583,66,50.938,47.4562,
56.734,66,52.294,39.6122,
57.492,66,52.894,34.9058,
59.457,67,55.454,20.3944,
00.202,67,55.604,20.7866,
00.653,69,56.055,21.571,
00.955,68,56.963,22.7476,
01.256,68,57.114,21.571,
01.556,68,57.874,21.1788,
03.945,65,58.024,22.7476,
04.245,64,58.927,27.454,
04.696,62,59.232,27.454,
04.845,61,59.533,23.9242,
05.597,55,59.682,24.3164,
05.745,54,00.276,21.571,
06.045,52,00.576,21.1788,
06.196,51,01.031,19.2178,
09.356,38,03.273,14.9036,
09.656,37,03.421,14.9036,
10.258,36,03.571,14.9036,
10.861,34,03.722,14.9036,
11.312,31,04.923,14.9036,
11.613,28,06.425,14.5114,
11.912,26,06.726,14.5114,
15.519,25,07.179,14.5114,
